period,ratio,keyword
2025-02-15,89.32653,원피스
2025-02-16,91.27835,원피스
2025-02-17,84.7547,원피스
2025-02-18,82.4512,원피스
2025-02-19,82.3457,원피스
2025-02-20,79.53226,원피스
2025-02-21,76.20889,원피스
2025-02-22,81.92368,원피스
2025-02-23,87.28679,원피스
2025-02-24,78.88165,원피스
2025-02-25,78.44206,원피스
2025-02-26,77.72111,원피스
2025-02-27,78.10796,원피스
2025-02-28,76.24406,원피스
2025-03-01,86.67135,원피스
2025-03-02,92.3158,원피스
2025-03-03,90.17056,원피스
2025-03-04,72.72727,원피스
2025-03-05,73.55371,원피스
2025-03-06,77.65078,원피스
2025-03-07,75.29453,원피스
2025-03-08,87.30437,원피스
2025-03-09,100.0,원피스
2025-03-10,83.06664,원피스
2025-03-11,89.53754,원피스
2025-03-12,89.59029,원피스
2025-03-13,85.7394,원피스
2025-03-14,83.55899,원피스
2025-03-15,98.82187,원피스
2025-01-15,64.73773,청바지
2025-01-16,60.67681,청바지
2025-01-17,64.39932,청바지
2025-01-18,66.7005,청바지
2025-01-19,69.71235,청바지
2025-01-20,64.67005,청바지
2025-01-21,63.68866,청바지
2025-01-22,60.03384,청바지
2025-01-23,57.59729,청바지
2025-01-24,50.72758,청바지
2025-01-25,52.69035,청바지
2025-01-26,53.50253,청바지
2025-01-27,49.84771,청바지
2025-01-28,44.43316,청바지
2025-01-29,46.19289,청바지
2025-01-30,52.41962,청바지
2025-01-31,52.01353,청바지
2025-02-01,57.83417,청바지
2025-02-02,65.07614,청바지
2025-02-03,52.52115,청바지
2025-02-04,58.13874,청바지
2025-02-05,54.99153,청바지
2025-02-06,49.47546,청바지
2025-02-07,49.71235,청바지
2025-02-08,52.52115,청바지
2025-02-09,59.56006,청바지
2025-02-10,57.86802,청바지
2025-02-11,56.17597,청바지
2025-02-12,58.91708,청바지
2025-02-13,56.48054,청바지
2025-02-14,57.15736,청바지
2025-02-15,67.10659,청바지
2025-02-16,67.78341,청바지
2025-02-17,66.15905,청바지
2025-02-18,69.30626,청바지
2025-02-19,64.50084,청바지
2025-02-20,63.68866,청바지
2025-02-21,57.9357,청바지
2025-02-22,62.87648,청바지
2025-02-23,69.98307,청바지
2025-02-24,62.87648,청바지
2025-02-25,61.72588,청바지
2025-02-26,78.6802,청바지
2025-02-27,85.24534,청바지
2025-02-28,69.20473,청바지
2025-03-01,93.87478,청바지
2025-03-02,80.64297,청바지
2025-03-03,86.83587,청바지
2025-03-04,66.19289,청바지
2025-03-05,69.67851,청바지
